id;first_name;last_name;gender;email;phone;address_line_1;address_line_2;city;country;user_id
1;Russel;Torphy;FEMALE;"Wf<_M@W.N+]D";503-196-9021 x3546;invoice Devolved;Computers Bedfordshire Fish;New Natalie;Svalbard & Jan Mayen Islands;2
2;Madyson;Hackett;MALE;"=.@[,J{._ZE";934.896.4735 x65648;Re-contextualized;local Shoes;Altheaville;Zambia;2
3;Janet;Wilkinson;MALE;"Hes1#C@~S7e|.L.";595-998-0233 x182;Bedfordshire;Maryland Configuration;Todmouth;Bangladesh;1
4;Corene;Morar;MALE;"3UX@5.jnBsB'";1-735-228-4828 x6905;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;West Kolbyton;Jamaica;2
5;Margarete;Bashirian;FEMALE;"HYX@NY']6!.7`}7y";200-833-5135;compress lavender Investment Account;backing up;South Hankmouth;Peru;2
6;Brittany;Reinger;MALE;":@PP|.""lYs6";244.702.0190;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Christfurt;United Arab Emirates;1
7;Loy;Wilkinson;FEMALE;"6.t@PQ0.#vj}H";317.103.1000 x038;Colombian Peso Unidad de Valor Real Bridge Handmade;online e-business;South Lysanne;Iceland;1
8;Levi;White;MALE;"SKfXWY@YtVku.mq)N";(566) 160-9690 x85698;Jamaican Dollar North Carolina;Station;Reggieside;Netherlands Antilles;1
9;Reggie;Willms;FEMALE;"k@L.+2";066-306-3386;wireless;hybrid;New Maverickborough;Netherlands;2
10;Serenity;Batz;FEMALE;".@~)~VuL.78q$:)";1-413-275-3895 x8246;application Configurable iterate;Berkshire navigating;West Sonia;Bhutan;1
