id;name;domain_name;email
1;mobile Fish;Home Loan Account Table Computer;"38C@L+'Q*.QDq&"
2;alarm;Tasty Metal Bacon;"3@1|IGnN.OdQL"
3;Money Market Account;Albania web-readiness;"C_@7yOo6Z.f;u"
4;zero administration;Multi-channelled Licensed;"bnU:8i@X%gF.W0)"
5;Canyon HDD;Table Small Frozen Sausages Planner;"8@Ot.Wf4"
6;Nakfa;Bahamian Dollar Investment Account;"{4{f1@%H].|nGU"
7;invoice;convergence;"lk%@i?.qe}SG"
8;synthesizing Views e-enable;Credit Card Account National Awesome;"?u.vJf@(.dSFx"
9;compress South Georgia and the South Sandwich Islands;compelling mission-critical;"SatR:@lO<.&+iE"
10;Small;deliverables reinvent 24 hour;"#x@Gw.)""kIRf"
